Episode,Score,Average Score,Best Score,steps,Model Saved,Epsilon,Dropout,Vehicle Name
0,-25879.765418343715,-25879.765418343715,-inf,174,False,0.9953000000000005,0.001,Drone0
1,-29445.846023972077,-27662.805721157896,-inf,284,False,0.9843000000000017,0.001,Drone0
2,-13917.37287650213,-23080.994772939306,-inf,336,False,0.9791000000000023,0.001,Drone0
3,-28397.723362311757,-24410.17692028242,-inf,447,False,0.9680000000000035,0.001,Drone0
4,-17724.02873971422,-23072.947284168782,-inf,507,True,0.9620000000000042,0.001,Drone0
5,-8066.190355450207,-20571.82112938235,-23072.947284168782,549,True,0.9578000000000046,0.001,Drone0
6,-36565.68985217306,-22856.65951835245,-20571.82112938235,675,False,0.945200000000006,0.001,Drone0
7,-20287.641634290445,-22535.532282844702,-20571.82112938235,785,False,0.9342000000000072,0.001,Drone0
8,-33006.82275211563,-23699.009001652583,-20571.82112938235,899,False,0.9228000000000085,0.001,Drone0
9,-27484.225262869648,-24077.53062777429,-20571.82112938235,1001,False,0.9126000000000096,0.001,Drone0
10,-28653.659835944454,-24354.92006953436,-20571.82112938235,1092,False,0.9035000000000106,0.001,Drone0
11,-70028.14362481791,-28413.149829618946,-20571.82112938235,1268,False,0.8859000000000126,0.001,Drone0
12,-16132.322375504065,-28634.644779519138,-20571.82112938235,1380,False,0.8747000000000138,0.001,Drone0
13,-19340.067558695013,-27728.87919915747,-20571.82112938235,1483,False,0.8644000000000149,0.001,Drone0
14,-12459.565316140155,-27202.432856800056,-20571.82112938235,1527,False,0.8600000000000154,0.001,Drone0
15,-5968.485373772994,-26992.662358632333,-20571.82112938235,1568,False,0.8559000000000159,0.001,Drone0
16,-9498.407230503219,-24285.934096465357,-20571.82112938235,1610,False,0.8517000000000163,0.001,Drone0
17,-10972.050444150063,-23354.374977451316,-20571.82112938235,1647,False,0.8480000000000167,0.001,Drone0
18,-11435.828274766161,-21197.275529716368,-20571.82112938235,1709,False,0.8418000000000174,0.001,Drone0
19,-10101.269234801017,-19458.979926909506,-20571.82112938235,1816,True,0.8311000000000186,0.001,Drone0
20,-10512.396927273614,-17644.85363604242,-19458.979926909506,1921,True,0.8206000000000198,0.001,Drone0
21,-4912.067243752375,-11133.245997935868,-17644.85363604242,1960,True,0.8167000000000202,0.001,Drone0
22,-5374.559361325084,-10057.469696517968,-11133.245997935868,1994,True,0.8133000000000206,0.001,Drone0
23,-14347.040394752643,-9558.166980123733,-10057.469696517968,2098,True,0.8029000000000217,0.001,Drone0
24,-9906.602064930466,-9302.870655002764,-9558.166980123733,2209,True,0.7918000000000229,0.001,Drone0
25,-5912.972415481529,-9297.319359173616,-9302.870655002764,2245,True,0.7882000000000233,0.001,Drone0
26,-12190.684616351215,-9566.547097758417,-9297.319359173616,2346,False,0.7781000000000244,0.001,Drone0
27,-14566.677605100882,-9926.009813853498,-9297.319359173616,2392,False,0.773500000000025,0.001,Drone0
28,-30796.374435050428,-11862.064429881924,-9297.319359173616,2515,False,0.7612000000000263,0.001,Drone0
29,-7625.05468322689,-11614.442974724512,-9297.319359173616,2555,False,0.7572000000000267,0.001,Drone0
30,-15071.945545517716,-12070.397836548922,-9297.319359173616,2605,False,0.7522000000000273,0.001,Drone0
31,-16153.389774153715,-13194.530089589058,-9297.319359173616,2665,False,0.746200000000028,0.001,Drone0
32,-61636.75174507052,-18820.749327963596,-9297.319359173616,2822,False,0.7305000000000297,0.001,Drone0
33,-8601.178193720754,-18246.16310786041,-9297.319359173616,2856,False,0.7271000000000301,0.001,Drone0
34,-9634.583308446723,-18218.961232212037,-9297.319359173616,2876,False,0.7251000000000303,0.001,Drone0
35,-5225.444866974594,-18150.208477361342,-9297.319359173616,2898,False,0.7229000000000305,0.001,Drone0
36,-13009.593883591731,-18232.099404085395,-9297.319359173616,2949,False,0.7178000000000311,0.001,Drone0
37,-11662.882879097684,-17941.719931485077,-9297.319359173616,3053,False,0.7074000000000322,0.001,Drone0
38,-5181.867219069745,-15380.269209887008,-9297.319359173616,3092,False,0.7035000000000327,0.001,Drone0
39,-7034.386302923892,-15321.20237185671,-9297.319359173616,3190,False,0.6937000000000337,0.001,Drone0
40,-12268.99705924866,-15040.907523229802,-9297.319359173616,3271,False,0.6856000000000346,0.001,Drone0
41,-15760.012863522736,-15001.569832166706,-9297.319359173616,3364,False,0.6763000000000357,0.001,Drone0
42,-30251.306716207626,-11863.025329280415,-9297.319359173616,3473,False,0.6654000000000369,0.001,Drone0
43,-1939.6578213049045,-11196.87329203883,-9297.319359173616,3569,False,0.6558000000000379,0.001,Drone0
44,-3199.228233157826,-10553.337784509942,-9297.319359173616,3674,False,0.6453000000000391,0.001,Drone0
45,-1613.573039785732,-10192.150601791054,-9297.319359173616,3777,False,0.6350000000000402,0.001,Drone0
46,-5013.215318350073,-9392.51274526689,-9297.319359173616,3879,False,0.6248000000000413,0.001,Drone0
47,-2626.848757834499,-8488.90933314057,-9297.319359173616,3978,True,0.6149000000000424,0.001,Drone0
48,-1513.0832441250182,-8122.0309356460975,-8488.90933314057,4079,True,0.6048000000000435,0.001,Drone0
49,-8730.246247193674,-8291.616930073074,-8122.0309356460975,4186,False,0.5941000000000447,0.001,Drone0
50,-320.6111049480595,-7096.778334643015,-8122.0309356460975,4283,True,0.5844000000000458,0.001,Drone0
51,-4322.910580778903,-5953.068106368631,-7096.778334643015,4322,True,0.5805000000000462,0.001,Drone0
52,-4735.419832381884,-3401.479417986057,-5953.068106368631,4400,True,0.5727000000000471,0.001,Drone0
53,-1711.6439786478197,-3378.678033720349,-3401.479417986057,4499,True,0.5628000000000482,0.001,Drone0
54,-2826.5638194375542,-3341.4115923483214,-3378.678033720349,4601,True,0.5526000000000493,0.001,Drone0
55,-5915.938070196013,-3771.6480953893492,-3341.4115923483214,4692,False,0.5435000000000503,0.001,Drone0
56,-2976.9742923729623,-3568.0239927916386,-3341.4115923483214,4797,False,0.5330000000000514,0.001,Drone0
57,-3223.5569590618907,-3627.6948129143784,-3341.4115923483214,4895,False,0.5232000000000525,0.001,Drone0
58,-1835.8840793681409,-3659.97489643869,-3341.4115923483214,4989,False,0.5138000000000535,0.001,Drone0
59,-7798.15922710596,-3566.766194429919,-3341.4115923483214,5059,False,0.5068000000000543,0.001,Drone0
60,-6708.797611056458,-4205.584845040758,-3341.4115923483214,5156,False,0.4971000000000554,0.001,Drone0
61,-496.11687740669913,-3822.905474703538,-3341.4115923483214,5254,False,0.48730000000005647,0.001,Drone0
62,-3045.4810423221593,-3653.9115956975647,-3341.4115923483214,5352,False,0.47750000000005755,0.001,Drone0
63,-1469.6967621781657,-3629.7168740506,-3341.4115923483214,5455,False,0.4672000000000587,0.001,Drone0
64,-1217.0623666669346,-3468.7667287735385,-3341.4115923483214,5550,False,0.4577000000000597,0.001,Drone0
65,-1520.56947035807,-3029.229868789744,-3341.4115923483214,5646,True,0.4481000000000608,0.001,Drone0
66,-705.9847265180886,-2802.130912204256,-3029.229868789744,5746,True,0.4381000000000619,0.001,Drone0
67,-1235.2545287184253,-2603.3006691699097,-2802.130912204256,5840,True,0.4287000000000629,0.001,Drone0
68,-3884.799888650773,-2808.1922500981736,-2603.3006691699097,5887,False,0.42400000000006344,0.001,Drone0
69,-1253.951025555247,-2153.7714299431022,-2603.3006691699097,5978,True,0.41490000000006444,0.001,Drone0
70,-1033.846655402828,-1586.276334377739,-2153.7714299431022,6076,True,0.4051000000000655,0.001,Drone0
71,297.7938355908305,-1506.885263077986,-1586.276334377739,6168,True,0.39590000000006653,0.001,Drone0
72,-3588.129019449843,-1561.1500607907547,-1506.885263077986,6230,False,0.3897000000000672,0.001,Drone0
73,-4134.305345105028,-1827.6109190834406,-1506.885263077986,6306,False,0.38210000000006805,0.001,Drone0
74,-5689.568364619326,-2274.86151887868,-1506.885263077986,6384,False,0.3743000000000689,0.001,Drone0
75,-479.6382618711474,-2170.768398029987,-1506.885263077986,6483,False,0.36440000000007,0.001,Drone0
76,-999.1172432503787,-2200.0816497032165,-1506.885263077986,6585,False,0.3542000000000711,0.001,Drone0
77,-3897.8680830622716,-2466.343005137601,-1506.885263077986,6658,False,0.34690000000007193,0.001,Drone0
78,-30447.572318538325,-5122.620248126356,-1506.885263077986,6761,False,0.33660000000007306,0.001,Drone0
79,-40708.31686708107,-9068.056832278939,-1506.885263077986,6869,False,0.32580000000007425,0.001,Drone0
80,-1480.9862990225106,-9112.770796640907,-1506.885263077986,6966,False,0.3161000000000753,0.001,Drone0
81,247.85622221567598,-9117.764557978422,-1506.885263077986,7062,False,0.3065000000000764,0.001,Drone0
82,-32.529074562442446,-8762.20456348968,-1506.885263077986,7157,False,0.2970000000000774,0.001,Drone0
83,68.46946744796153,-8341.927082234382,-1506.885263077986,7255,False,0.2872000000000785,0.001,Drone0
84,-172.60945664976128,-7790.231191437427,-1506.885263077986,7352,False,0.27750000000007957,0.001,Drone0
85,-3960.762516160077,-8138.34361686632,-1506.885263077986,7412,False,0.27150000000008023,0.001,Drone0
86,-1767.9110526762865,-8215.222997808909,-1506.885263077986,7474,False,0.2653000000000809,0.001,Drone0
87,-1702.517344255127,-7995.687923928196,-1506.885263077986,7569,False,0.25580000000008196,0.001,Drone0
88,316.6904739649753,-4919.261644677866,-1506.885263077986,7661,False,0.24660000000008298,0.001,Drone0
89,157.16715934078175,-832.7132420356813,-1506.885263077986,7754,True,0.237300000000084,0.001,Drone0
90,-2369.9725330521023,-921.6118654386403,-832.7132420356813,7808,False,0.2319000000000846,0.001,Drone0
91,459.5164237242018,-900.4458452877876,-832.7132420356813,7904,False,0.22230000000008565,0.001,Drone0
92,-3520.9198216501727,-1249.2849199965608,-832.7132420356813,7961,False,0.21660000000008628,0.001,Drone0
93,399.3115361273424,-1216.2007131286225,-832.7132420356813,8050,False,0.20770000000008726,0.001,Drone0
94,35.22211703081197,-1195.4175557605654,-832.7132420356813,8143,False,0.19840000000008828,0.001,Drone0
95,60.2751599554622,-793.3137881490113,-832.7132420356813,8232,True,0.18950000000008926,0.001,Drone0
96,-3043.877722038087,-920.9104550851913,-793.3137881490113,8285,False,0.18420000000008985,0.001,Drone0
